2026-02-19T10:55:00.215528+01:00,  soc=100.0,  volt=49.45,  volt_delta=-3.35, volt_rate_per_min=-3.35, volt_status=CAUTION, batt_w=15.0,  batt_mode=idle,  batt_discharge_w=15.0,  batt_charge_w=0,  load_w=2563.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=60, max_charge_a=6, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=2967, is_critical_soc=False
2026-02-19T10:56:00.215179+01:00,  soc=100.0,  volt=49.45,  volt_delta=-3.35, volt_rate_per_min=-3.35, volt_status=CAUTION, batt_w=15.0,  batt_mode=idle,  batt_discharge_w=15.0,  batt_charge_w=0,  load_w=2563.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=60, max_charge_a=6, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=2967, is_critical_soc=False
2026-02-19T10:57:00.215289+01:00,  soc=100.0,  volt=49.45,  volt_delta=-3.35, volt_rate_per_min=-3.35, volt_status=CAUTION, batt_w=15.0,  batt_mode=idle,  batt_discharge_w=15.0,  batt_charge_w=0,  load_w=2563.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=60, max_charge_a=6, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=2967, is_critical_soc=False
2026-02-19T10:58:00.214828+01:00,  soc=100.0,  volt=49.41,  volt_delta=-3.39, volt_rate_per_min=-3.39, volt_status=CAUTION, batt_w=15.0,  batt_mode=idle,  batt_discharge_w=15.0,  batt_charge_w=0,  load_w=2563.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=60, max_charge_a=6, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=2965, is_critical_soc=False
2026-02-19T10:59:00.214860+01:00,  soc=100.0,  volt=49.41,  volt_delta=-3.39, volt_rate_per_min=-3.39, volt_status=CAUTION, batt_w=15.0,  batt_mode=idle,  batt_discharge_w=15.0,  batt_charge_w=0,  load_w=2563.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=60, max_charge_a=6, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=2965, is_critical_soc=False
2026-02-19T11:00:00.215474+01:00,  soc=100.0,  volt=49.41,  volt_delta=-3.39, volt_rate_per_min=-3.39, volt_status=CAUTION, batt_w=15.0,  batt_mode=idle,  batt_discharge_w=15.0,  batt_charge_w=0,  load_w=2622.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=60, max_charge_a=6, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=2965, is_critical_soc=False
2026-02-19T11:01:00.214929+01:00,  soc=100.0,  volt=49.41,  volt_delta=-3.39, volt_rate_per_min=-3.39, volt_status=CAUTION, batt_w=15.0,  batt_mode=idle,  batt_discharge_w=15.0,  batt_charge_w=0,  load_w=2622.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=60, max_charge_a=6, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=2965, is_critical_soc=False
2026-02-19T11:02:00.215652+01:00,  soc=100.0,  volt=48.34,  volt_delta=-4.46, volt_rate_per_min=-4.46, volt_status=WARNING, batt_w=2690.0,  batt_mode=discharge,  batt_discharge_w=2690.0,  batt_charge_w=0,  load_w=2622.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=60, max_charge_a=6, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=2900, is_critical_soc=False
2026-02-19T11:03:00.215040+01:00,  soc=100.0,  volt=48.29,  volt_delta=-4.51, volt_rate_per_min=-4.51, volt_status=WARNING, batt_w=1406.0,  batt_mode=discharge,  batt_discharge_w=1406.0,  batt_charge_w=0,  load_w=2622.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=30, max_charge_a=6, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=2897, is_critical_soc=False
2026-02-19T11:04:00.214685+01:00,  soc=100.0,  volt=47.96,  volt_delta=-4.84, volt_rate_per_min=-4.84, volt_status=WARNING, batt_w=1406.0,  batt_mode=discharge,  batt_discharge_w=1406.0,  batt_charge_w=0,  load_w=2622.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=30, max_charge_a=6, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=15, voltage_protected_limit_a=45, soc_power_w=2878, is_critical_soc=False
2026-02-19T11:05:00.215285+01:00,  soc=32.0,  volt=47.69,  volt_delta=-5.11, volt_rate_per_min=-5.11, volt_status=CRITICAL_LOW, batt_w=1384.0,  batt_mode=discharge,  batt_discharge_w=1384.0,  batt_charge_w=0,  load_w=2622.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=15, max_charge_a=6, max_grid_charge_a=64, soc_limit_a=44, volt_penalty_a=15, voltage_protected_limit_a=29, soc_power_w=2082, is_critical_soc=False
2026-02-19T11:06:00.215312+01:00,  soc=32.0,  volt=47.69,  volt_delta=-5.11, volt_rate_per_min=-5.11, volt_status=CRITICAL_LOW, batt_w=723.0,  batt_mode=discharge,  batt_discharge_w=723.0,  batt_charge_w=0,  load_w=2684.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=15, max_charge_a=6, max_grid_charge_a=64, soc_limit_a=44, volt_penalty_a=15, voltage_protected_limit_a=29, soc_power_w=2082, is_critical_soc=False
2026-02-19T11:07:00.216409+01:00,  soc=32.0,  volt=47.55,  volt_delta=-5.25, volt_rate_per_min=-5.25, volt_status=CRITICAL_LOW, batt_w=723.0,  batt_mode=discharge,  batt_discharge_w=723.0,  batt_charge_w=0,  load_w=2684.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=15, max_charge_a=6, max_grid_charge_a=64, soc_limit_a=44, volt_penalty_a=15, voltage_protected_limit_a=29, soc_power_w=2082, is_critical_soc=False
