2026-02-28T09:35:00.341700+01:00,  soc=70.0,  volt=52.13,  volt_delta=-0.67, volt_rate_per_min=-0.67, volt_status=NORMAL, batt_w=1019.0,  batt_mode=discharge,  batt_discharge_w=1019.0,  batt_charge_w=0,  load_w=1377.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=65, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=3128, is_critical_soc=False
2026-02-28T09:36:00.340131+01:00,  soc=70.0,  volt=52.13,  volt_delta=-0.67, volt_rate_per_min=-0.67, volt_status=NORMAL, batt_w=1019.0,  batt_mode=discharge,  batt_discharge_w=1019.0,  batt_charge_w=0,  load_w=1427.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=65, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=3128, is_critical_soc=False
2026-02-28T09:37:00.340689+01:00,  soc=70.0,  volt=52.02,  volt_delta=-0.78, volt_rate_per_min=-0.78, volt_status=NORMAL, batt_w=1157.0,  batt_mode=discharge,  batt_discharge_w=1157.0,  batt_charge_w=0,  load_w=1477.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=65, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=3121, is_critical_soc=False
2026-02-28T09:38:00.340608+01:00,  soc=70.0,  volt=52.02,  volt_delta=-0.78, volt_rate_per_min=-0.78, volt_status=NORMAL, batt_w=1157.0,  batt_mode=discharge,  batt_discharge_w=1157.0,  batt_charge_w=0,  load_w=1477.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=65, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=3121, is_critical_soc=False
2026-02-28T09:39:00.340348+01:00,  soc=70.0,  volt=52.02,  volt_delta=-0.78, volt_rate_per_min=-0.78, volt_status=NORMAL, batt_w=1157.0,  batt_mode=discharge,  batt_discharge_w=1157.0,  batt_charge_w=0,  load_w=1477.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=65, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=3121, is_critical_soc=False
2026-02-28T09:40:00.341139+01:00,  soc=69.0,  volt=52.02,  volt_delta=-0.78, volt_rate_per_min=-0.78, volt_status=NORMAL, batt_w=1157.0,  batt_mode=discharge,  batt_discharge_w=1157.0,  batt_charge_w=0,  load_w=1473.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=65, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=3121, is_critical_soc=False
2026-02-28T09:41:00.340273+01:00,  soc=69.0,  volt=52.02,  volt_delta=-0.78, volt_rate_per_min=-0.78, volt_status=NORMAL, batt_w=1157.0,  batt_mode=discharge,  batt_discharge_w=1157.0,  batt_charge_w=0,  load_w=1473.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=65, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=3121, is_critical_soc=False
2026-02-28T09:42:00.340192+01:00,  soc=69.0,  volt=51.98,  volt_delta=-0.82, volt_rate_per_min=-0.82, volt_status=NORMAL, batt_w=1145.0,  batt_mode=discharge,  batt_discharge_w=1145.0,  batt_charge_w=0,  load_w=1473.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=65, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=3119, is_critical_soc=False
2026-02-28T09:43:00.340234+01:00,  soc=69.0,  volt=51.98,  volt_delta=-0.82, volt_rate_per_min=-0.82, volt_status=NORMAL, batt_w=1145.0,  batt_mode=discharge,  batt_discharge_w=1145.0,  batt_charge_w=0,  load_w=1473.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=65, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=3119, is_critical_soc=False
2026-02-28T09:44:00.340720+01:00,  soc=69.0,  volt=51.98,  volt_delta=-0.82, volt_rate_per_min=-0.82, volt_status=NORMAL, batt_w=1212.0,  batt_mode=discharge,  batt_discharge_w=1212.0,  batt_charge_w=0,  load_w=1412.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=65, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=3119, is_critical_soc=False
2026-02-28T09:45:00.340150+01:00,  soc=68.0,  volt=51.34,  volt_delta=-1.46, volt_rate_per_min=-1.46, volt_status=NORMAL, batt_w=3119.0,  batt_mode=discharge,  batt_discharge_w=3119.0,  batt_charge_w=0,  load_w=1412.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=65, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=3080, is_critical_soc=False
2026-02-28T09:46:00.341441+01:00,  soc=68.0,  volt=51.96,  volt_delta=-0.84, volt_rate_per_min=-0.84, volt_status=NORMAL, batt_w=1244.0,  batt_mode=discharge,  batt_discharge_w=1244.0,  batt_charge_w=0,  load_w=1411.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=65, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=3118, is_critical_soc=False
