2026-02-22T10:53:00.322134+01:00,  soc=90.0,  volt=52.7,  volt_delta=-0.1, volt_rate_per_min=-0.1, volt_status=NORMAL, batt_w=14.0,  batt_mode=idle,  batt_discharge_w=14.0,  batt_charge_w=0,  load_w=5881.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-22 07:00:02, ev_webhook_count=100, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=0, voltage_protected_limit_a=60, soc_power_w=3162, is_critical_soc=False
2026-02-22T10:54:00.322368+01:00,  soc=90.0,  volt=52.7,  volt_delta=-0.1, volt_rate_per_min=-0.1, volt_status=NORMAL, batt_w=14.0,  batt_mode=idle,  batt_discharge_w=14.0,  batt_charge_w=0,  load_w=3985.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-22 07:00:02, ev_webhook_count=100, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=0, voltage_protected_limit_a=60, soc_power_w=3162, is_critical_soc=False
2026-02-22T10:55:00.322922+01:00,  soc=90.0,  volt=52.7,  volt_delta=-0.1, volt_rate_per_min=-0.1, volt_status=NORMAL, batt_w=14.0,  batt_mode=idle,  batt_discharge_w=14.0,  batt_charge_w=0,  load_w=4224.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-22 07:00:02, ev_webhook_count=100, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=0, voltage_protected_limit_a=60, soc_power_w=3162, is_critical_soc=False
2026-02-22T10:56:00.322497+01:00,  soc=90.0,  volt=52.7,  volt_delta=-0.1, volt_rate_per_min=-0.1, volt_status=NORMAL, batt_w=14.0,  batt_mode=idle,  batt_discharge_w=14.0,  batt_charge_w=0,  load_w=3974.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-22 07:00:02, ev_webhook_count=100, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=0, voltage_protected_limit_a=60, soc_power_w=3162, is_critical_soc=False
2026-02-22T10:57:00.322141+01:00,  soc=90.0,  volt=52.7,  volt_delta=-0.1, volt_rate_per_min=-0.1, volt_status=NORMAL, batt_w=14.0,  batt_mode=idle,  batt_discharge_w=14.0,  batt_charge_w=0,  load_w=4207.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-22 07:00:02, ev_webhook_count=100, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=0, voltage_protected_limit_a=60, soc_power_w=3162, is_critical_soc=False
2026-02-22T10:58:00.322963+01:00,  soc=90.0,  volt=52.7,  volt_delta=-0.1, volt_rate_per_min=-0.1, volt_status=NORMAL, batt_w=14.0,  batt_mode=idle,  batt_discharge_w=14.0,  batt_charge_w=0,  load_w=4032.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-22 07:00:02, ev_webhook_count=100, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=0, voltage_protected_limit_a=60, soc_power_w=3162, is_critical_soc=False
2026-02-22T10:59:00.321864+01:00,  soc=90.0,  volt=52.7,  volt_delta=-0.1, volt_rate_per_min=-0.1, volt_status=NORMAL, batt_w=14.0,  batt_mode=idle,  batt_discharge_w=14.0,  batt_charge_w=0,  load_w=4225.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-22 07:00:02, ev_webhook_count=100, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=0, voltage_protected_limit_a=60, soc_power_w=3162, is_critical_soc=False
2026-02-22T11:00:00.322244+01:00,  soc=90.0,  volt=52.7,  volt_delta=-0.1, volt_rate_per_min=-0.1, volt_status=NORMAL, batt_w=14.0,  batt_mode=idle,  batt_discharge_w=14.0,  batt_charge_w=0,  load_w=1971.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-22 07:00:02, ev_webhook_count=100, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=0, voltage_protected_limit_a=60, soc_power_w=3162, is_critical_soc=False
2026-02-22T11:01:00.321775+01:00,  soc=90.0,  volt=52.7,  volt_delta=-0.1, volt_rate_per_min=-0.1, volt_status=NORMAL, batt_w=14.0,  batt_mode=idle,  batt_discharge_w=14.0,  batt_charge_w=0,  load_w=2160.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-22 07:00:02, ev_webhook_count=100, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=0, voltage_protected_limit_a=60, soc_power_w=3162, is_critical_soc=False
2026-02-22T11:02:00.322720+01:00,  soc=90.0,  volt=52.7,  volt_delta=-0.1, volt_rate_per_min=-0.1, volt_status=NORMAL, batt_w=14.0,  batt_mode=idle,  batt_discharge_w=14.0,  batt_charge_w=0,  load_w=1994.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-22 07:00:02, ev_webhook_count=100, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=0, voltage_protected_limit_a=60, soc_power_w=3162, is_critical_soc=False
