2026-02-17T21:32:00.284322+01:00,  soc=33.0,  volt=49.02,  volt_delta=-0.46, volt_rate_per_min=-0.46, volt_status=CAUTION, batt_w=59.0,  batt_mode=discharge,  batt_discharge_w=59.0,  batt_charge_w=0,  load_w=2567.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-17 05:00:02, ev_webhook_count=79, max_discharge_a=1, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=45, volt_penalty_a=15, voltage_protected_limit_a=30, soc_power_w=2198, is_critical_soc=False
2026-02-17T21:33:00.283830+01:00,  soc=33.0,  volt=49.02,  volt_delta=0.0, volt_rate_per_min=0.0, volt_status=CAUTION, batt_w=59.0,  batt_mode=discharge,  batt_discharge_w=59.0,  batt_charge_w=0,  load_w=2567.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-17 05:00:02, ev_webhook_count=79, max_discharge_a=1, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=45, volt_penalty_a=15, voltage_protected_limit_a=30, soc_power_w=2198, is_critical_soc=False
2026-02-17T21:34:00.283476+01:00,  soc=33.0,  volt=49.02,  volt_delta=0.0, volt_rate_per_min=0.0, volt_status=CAUTION, batt_w=59.0,  batt_mode=discharge,  batt_discharge_w=59.0,  batt_charge_w=0,  load_w=2665.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-17 05:00:02, ev_webhook_count=79, max_discharge_a=1, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=45, volt_penalty_a=15, voltage_protected_limit_a=30, soc_power_w=2198, is_critical_soc=False
2026-02-17T21:35:00.283972+01:00,  soc=33.0,  volt=49.02,  volt_delta=0.0, volt_rate_per_min=0.0, volt_status=CAUTION, batt_w=59.0,  batt_mode=discharge,  batt_discharge_w=59.0,  batt_charge_w=0,  load_w=2665.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-17 05:00:02, ev_webhook_count=79, max_discharge_a=1, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=45, volt_penalty_a=15, voltage_protected_limit_a=30, soc_power_w=2198, is_critical_soc=False
2026-02-17T21:36:00.284316+01:00,  soc=33.0,  volt=49.02,  volt_delta=0.0, volt_rate_per_min=0.0, volt_status=CAUTION, batt_w=59.0,  batt_mode=discharge,  batt_discharge_w=59.0,  batt_charge_w=0,  load_w=2669.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-17 05:00:02, ev_webhook_count=79, max_discharge_a=1, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=45, volt_penalty_a=15, voltage_protected_limit_a=30, soc_power_w=2198, is_critical_soc=False
2026-02-17T21:37:00.284305+01:00,  soc=33.0,  volt=49.02,  volt_delta=0.0, volt_rate_per_min=0.0, volt_status=CAUTION, batt_w=59.0,  batt_mode=discharge,  batt_discharge_w=59.0,  batt_charge_w=0,  load_w=2720.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-17 05:00:02, ev_webhook_count=79, max_discharge_a=1, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=45, volt_penalty_a=15, voltage_protected_limit_a=30, soc_power_w=2198, is_critical_soc=False
2026-02-17T21:38:00.284156+01:00,  soc=33.0,  volt=49.02,  volt_delta=0.0, volt_rate_per_min=0.0, volt_status=CAUTION, batt_w=59.0,  batt_mode=discharge,  batt_discharge_w=59.0,  batt_charge_w=0,  load_w=2720.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-17 05:00:02, ev_webhook_count=79, max_discharge_a=1, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=45, volt_penalty_a=15, voltage_protected_limit_a=30, soc_power_w=2198, is_critical_soc=False
2026-02-17T21:39:00.284159+01:00,  soc=33.0,  volt=49.02,  volt_delta=0.0, volt_rate_per_min=0.0, volt_status=CAUTION, batt_w=59.0,  batt_mode=discharge,  batt_discharge_w=59.0,  batt_charge_w=0,  load_w=2720.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-17 05:00:02, ev_webhook_count=79, max_discharge_a=1, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=45, volt_penalty_a=15, voltage_protected_limit_a=30, soc_power_w=2198, is_critical_soc=False
2026-02-17T21:40:00.284820+01:00,  soc=33.0,  volt=49.02,  volt_delta=0.0, volt_rate_per_min=0.0, volt_status=CAUTION, batt_w=59.0,  batt_mode=discharge,  batt_discharge_w=59.0,  batt_charge_w=0,  load_w=2720.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-17 05:00:02, ev_webhook_count=79, max_discharge_a=1, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=45, volt_penalty_a=15, voltage_protected_limit_a=30, soc_power_w=2198, is_critical_soc=False
2026-02-17T21:41:00.283731+01:00,  soc=33.0,  volt=49.02,  volt_delta=0.0, volt_rate_per_min=0.0, volt_status=CAUTION, batt_w=59.0,  batt_mode=discharge,  batt_discharge_w=59.0,  batt_charge_w=0,  load_w=2728.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-17 05:00:02, ev_webhook_count=79, max_discharge_a=1, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=45, volt_penalty_a=15, voltage_protected_limit_a=30, soc_power_w=2198, is_critical_soc=False
