2026-02-24T21:44:00.339930+01:00,  soc=23.0,  volt=51.29,  volt_delta=-1.51, volt_rate_per_min=-1.51, volt_status=NORMAL, batt_w=265.0,  batt_mode=discharge,  batt_discharge_w=265.0,  batt_charge_w=0,  load_w=2162.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=5, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=25, volt_penalty_a=10, voltage_protected_limit_a=15, soc_power_w=1274, is_critical_soc=False
2026-02-24T21:45:00.340407+01:00,  soc=23.0,  volt=51.29,  volt_delta=-1.51, volt_rate_per_min=-1.51, volt_status=NORMAL, batt_w=265.0,  batt_mode=discharge,  batt_discharge_w=265.0,  batt_charge_w=0,  load_w=2143.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=5, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=25, volt_penalty_a=10, voltage_protected_limit_a=15, soc_power_w=1274, is_critical_soc=False
2026-02-24T21:46:00.340460+01:00,  soc=23.0,  volt=51.29,  volt_delta=-1.51, volt_rate_per_min=-1.51, volt_status=NORMAL, batt_w=265.0,  batt_mode=discharge,  batt_discharge_w=265.0,  batt_charge_w=0,  load_w=2143.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=5, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=25, volt_penalty_a=10, voltage_protected_limit_a=15, soc_power_w=1274, is_critical_soc=False
2026-02-24T21:47:00.340751+01:00,  soc=23.0,  volt=51.29,  volt_delta=-1.51, volt_rate_per_min=-1.51, volt_status=NORMAL, batt_w=265.0,  batt_mode=discharge,  batt_discharge_w=265.0,  batt_charge_w=0,  load_w=2143.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=5, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=25, volt_penalty_a=10, voltage_protected_limit_a=15, soc_power_w=1274, is_critical_soc=False
2026-02-24T21:48:00.339858+01:00,  soc=23.0,  volt=51.29,  volt_delta=-1.51, volt_rate_per_min=-1.51, volt_status=NORMAL, batt_w=12.0,  batt_mode=idle,  batt_discharge_w=12.0,  batt_charge_w=0,  load_w=2143.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=5, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=25, volt_penalty_a=10, voltage_protected_limit_a=15, soc_power_w=1274, is_critical_soc=False
2026-02-24T21:49:00.340310+01:00,  soc=23.0,  volt=51.29,  volt_delta=-1.51, volt_rate_per_min=-1.51, volt_status=NORMAL, batt_w=12.0,  batt_mode=idle,  batt_discharge_w=12.0,  batt_charge_w=0,  load_w=2143.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=5, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=25, volt_penalty_a=10, voltage_protected_limit_a=15, soc_power_w=1274, is_critical_soc=False
2026-02-24T21:50:00.340972+01:00,  soc=23.0,  volt=51.29,  volt_delta=-1.51, volt_rate_per_min=-1.51, volt_status=NORMAL, batt_w=12.0,  batt_mode=idle,  batt_discharge_w=12.0,  batt_charge_w=0,  load_w=2171.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=5, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=25, volt_penalty_a=10, voltage_protected_limit_a=15, soc_power_w=1274, is_critical_soc=False
2026-02-24T21:51:00.340129+01:00,  soc=23.0,  volt=51.29,  volt_delta=-1.51, volt_rate_per_min=-1.51, volt_status=NORMAL, batt_w=12.0,  batt_mode=idle,  batt_discharge_w=12.0,  batt_charge_w=0,  load_w=2171.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=5, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=25, volt_penalty_a=10, voltage_protected_limit_a=15, soc_power_w=1274, is_critical_soc=False
2026-02-24T21:52:00.339969+01:00,  soc=23.0,  volt=51.35,  volt_delta=-1.45, volt_rate_per_min=-1.45, volt_status=NORMAL, batt_w=13.0,  batt_mode=idle,  batt_discharge_w=13.0,  batt_charge_w=0,  load_w=2171.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=5, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=25, volt_penalty_a=10, voltage_protected_limit_a=15, soc_power_w=1274, is_critical_soc=False
2026-02-24T21:53:00.340530+01:00,  soc=23.0,  volt=51.35,  volt_delta=-1.45, volt_rate_per_min=-1.45, volt_status=NORMAL, batt_w=13.0,  batt_mode=idle,  batt_discharge_w=13.0,  batt_charge_w=0,  load_w=2171.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=5, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=25, volt_penalty_a=10, voltage_protected_limit_a=15, soc_power_w=1274, is_critical_soc=False
2026-02-24T21:54:00.340293+01:00,  soc=23.0,  volt=51.35,  volt_delta=-1.45, volt_rate_per_min=-1.45, volt_status=NORMAL, batt_w=13.0,  batt_mode=idle,  batt_discharge_w=13.0,  batt_charge_w=0,  load_w=2171.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=5, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=25, volt_penalty_a=10, voltage_protected_limit_a=15, soc_power_w=1274, is_critical_soc=False
2026-02-24T21:55:00.340231+01:00,  soc=23.0,  volt=51.35,  volt_delta=-1.45, volt_rate_per_min=-1.45, volt_status=NORMAL, batt_w=13.0,  batt_mode=idle,  batt_discharge_w=13.0,  batt_charge_w=0,  load_w=2171.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=5, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=25, volt_penalty_a=10, voltage_protected_limit_a=15, soc_power_w=1274, is_critical_soc=False
2026-02-24T21:56:00.340210+01:00,  soc=23.0,  volt=51.35,  volt_delta=-1.45, volt_rate_per_min=-1.45, volt_status=NORMAL, batt_w=13.0,  batt_mode=idle,  batt_discharge_w=13.0,  batt_charge_w=0,  load_w=2151.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=5, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=25, volt_penalty_a=10, voltage_protected_limit_a=15, soc_power_w=1274, is_critical_soc=False
2026-02-24T21:57:00.339942+01:00,  soc=23.0,  volt=51.35,  volt_delta=-1.45, volt_rate_per_min=-1.45, volt_status=NORMAL, batt_w=13.0,  batt_mode=idle,  batt_discharge_w=13.0,  batt_charge_w=0,  load_w=2151.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=5, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=25, volt_penalty_a=10, voltage_protected_limit_a=15, soc_power_w=1274, is_critical_soc=False
2026-02-24T21:58:00.341217+01:00,  soc=23.0,  volt=51.35,  volt_delta=-1.45, volt_rate_per_min=-1.45, volt_status=NORMAL, batt_w=13.0,  batt_mode=idle,  batt_discharge_w=13.0,  batt_charge_w=0,  load_w=2143.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=5, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=25, volt_penalty_a=10, voltage_protected_limit_a=15, soc_power_w=1274, is_critical_soc=False
2026-02-24T21:59:00.340179+01:00,  soc=23.0,  volt=51.35,  volt_delta=-1.45, volt_rate_per_min=-1.45, volt_status=NORMAL, batt_w=13.0,  batt_mode=idle,  batt_discharge_w=13.0,  batt_charge_w=0,  load_w=1967.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=5, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=25, volt_penalty_a=10, voltage_protected_limit_a=15, soc_power_w=1274, is_critical_soc=False
2026-02-24T22:00:00.340509+01:00,  soc=23.0,  volt=51.35,  volt_delta=-1.45, volt_rate_per_min=-1.45, volt_status=NORMAL, batt_w=13.0,  batt_mode=idle,  batt_discharge_w=13.0,  batt_charge_w=0,  load_w=4045.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=5, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=25, volt_penalty_a=10, voltage_protected_limit_a=15, soc_power_w=1274, is_critical_soc=False
