2026-01-29T17:29:00.204933+01:00,  soc=82.0,  volt=52.15,  volt_status=NORMAL, batt_w=2672.0,  batt_mode=discharge,  batt_discharge_w=2672.0,  batt_charge_w=0,  load_w=2594.0, zone=unknown,  grid_charge=off, rescue_active=on, ev_charging_active=off, ev_charge_end=unknown, ev_webhook_count=0, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=50, soc_power_w=2625, is_critical_soc=False
2026-01-29T17:30:00.205243+01:00,  soc=82.0,  volt=52.15,  volt_status=NORMAL, batt_w=2672.0,  batt_mode=discharge,  batt_discharge_w=2672.0,  batt_charge_w=0,  load_w=2594.0, zone=unknown,  grid_charge=off, rescue_active=on, ev_charging_active=off, ev_charge_end=unknown, ev_webhook_count=0, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=50, soc_power_w=2625, is_critical_soc=False
2026-01-29T17:31:00.205134+01:00,  soc=82.0,  volt=52.15,  volt_status=NORMAL, batt_w=2672.0,  batt_mode=discharge,  batt_discharge_w=2672.0,  batt_charge_w=0,  load_w=2594.0, zone=unknown,  grid_charge=off, rescue_active=on, ev_charging_active=off, ev_charge_end=unknown, ev_webhook_count=0, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=50, soc_power_w=2625, is_critical_soc=False
2026-01-29T17:32:00.204769+01:00,  soc=81.0,  volt=52.15,  volt_status=NORMAL, batt_w=2672.0,  batt_mode=discharge,  batt_discharge_w=2672.0,  batt_charge_w=0,  load_w=2594.0, zone=unknown,  grid_charge=off, rescue_active=on, ev_charging_active=off, ev_charge_end=unknown, ev_webhook_count=0, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=50, soc_power_w=2625, is_critical_soc=False
2026-01-29T17:33:00.204500+01:00,  soc=81.0,  volt=52.15,  volt_status=NORMAL, batt_w=2672.0,  batt_mode=discharge,  batt_discharge_w=2672.0,  batt_charge_w=0,  load_w=2594.0, zone=unknown,  grid_charge=off, rescue_active=on, ev_charging_active=off, ev_charge_end=unknown, ev_webhook_count=0, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=50, soc_power_w=2625, is_critical_soc=False
2026-01-29T17:34:00.204623+01:00,  soc=80.0,  volt=52.15,  volt_status=NORMAL, batt_w=2672.0,  batt_mode=discharge,  batt_discharge_w=2672.0,  batt_charge_w=0,  load_w=2642.0, zone=unknown,  grid_charge=off, rescue_active=on, ev_charging_active=off, ev_charge_end=unknown, ev_webhook_count=0, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=50, soc_power_w=2625, is_critical_soc=False
2026-01-29T17:35:00.204867+01:00,  soc=80.0,  volt=52.05,  volt_status=NORMAL, batt_w=2710.0,  batt_mode=discharge,  batt_discharge_w=2710.0,  batt_charge_w=0,  load_w=2642.0, zone=unknown,  grid_charge=off, rescue_active=on, ev_charging_active=off, ev_charge_end=unknown, ev_webhook_count=0, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=50, soc_power_w=2625, is_critical_soc=False
2026-01-29T17:36:00.207083+01:00,  soc=79.0,  volt=52.03,  volt_status=NORMAL, batt_w=2710.0,  batt_mode=discharge,  batt_discharge_w=2710.0,  batt_charge_w=0,  load_w=2642.0, zone=unknown,  grid_charge=off, rescue_active=on, ev_charging_active=off, ev_charge_end=unknown, ev_webhook_count=0, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=50, soc_power_w=2625, is_critical_soc=False
2026-01-29T17:37:00.204993+01:00,  soc=79.0,  volt=52.03,  volt_status=NORMAL, batt_w=2737.0,  batt_mode=discharge,  batt_discharge_w=2737.0,  batt_charge_w=0,  load_w=2666.0, zone=unknown,  grid_charge=off, rescue_active=on, ev_charging_active=off, ev_charge_end=unknown, ev_webhook_count=0, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=50, soc_power_w=2625, is_critical_soc=False
2026-01-29T17:38:00.204535+01:00,  soc=78.0,  volt=52.03,  volt_status=NORMAL, batt_w=2983.0,  batt_mode=discharge,  batt_discharge_w=2983.0,  batt_charge_w=0,  load_w=2666.0, zone=unknown,  grid_charge=off, rescue_active=on, ev_charging_active=off, ev_charge_end=unknown, ev_webhook_count=0, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=50, soc_power_w=2625, is_critical_soc=False
2026-01-29T17:39:00.204621+01:00,  soc=78.0,  volt=52.03,  volt_status=NORMAL, batt_w=2685.0,  batt_mode=discharge,  batt_discharge_w=2685.0,  batt_charge_w=0,  load_w=2604.0, zone=unknown,  grid_charge=off, rescue_active=on, ev_charging_active=off, ev_charge_end=unknown, ev_webhook_count=0, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=50, soc_power_w=2625, is_critical_soc=False
2026-01-29T17:40:00.205198+01:00,  soc=77.0,  volt=52.03,  volt_status=NORMAL, batt_w=2685.0,  batt_mode=discharge,  batt_discharge_w=2685.0,  batt_charge_w=0,  load_w=2604.0, zone=unknown,  grid_charge=off, rescue_active=on, ev_charging_active=off, ev_charge_end=unknown, ev_webhook_count=0, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=50, soc_power_w=2625, is_critical_soc=False
