2026-01-28T20:25:00.562307+01:00, outdoor_avg_60m=-0.33, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=50, opState=heating, status=no_change
2026-01-28T20:25:00.576002+01:00, outdoor_avg_60m=-0.33, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=50, opState=heating, status=no_change
2026-01-28T20:30:00.599605+01:00, outdoor_avg_60m=-0.45, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=50, opState=heating, status=no_change
2026-01-28T20:30:00.611542+01:00, outdoor_avg_60m=-0.45, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=50, opState=heating, status=no_change
2026-01-28T20:35:00.631178+01:00, outdoor_avg_60m=-0.5, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=50, opState=heating, status=no_change
2026-01-28T20:35:00.638730+01:00, outdoor_avg_60m=-0.5, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=50, opState=heating, status=no_change
2026-01-28T20:40:00.662091+01:00, outdoor_avg_60m=-0.58, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=50, opState=heating, status=no_change
2026-01-28T20:40:00.669278+01:00, outdoor_avg_60m=-0.58, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=50, opState=heating, status=no_change
2026-01-28T20:45:00.691954+01:00, outdoor_avg_60m=-0.67, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=50, opState=heating, status=no_change
2026-01-28T20:45:00.704809+01:00, outdoor_avg_60m=-0.67, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=50, opState=heating, status=no_change
2026-01-28T20:50:00.522555+01:00, outdoor_avg_60m=-0.75, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=50, opState=heating, status=no_change
2026-01-28T20:50:00.529687+01:00, outdoor_avg_60m=-0.75, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=50, opState=heating, status=no_change
2026-01-28T20:55:00.350677+01:00, outdoor_avg_60m=-0.83, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=50, opState=heating, status=no_change
2026-01-28T20:55:00.364597+01:00, outdoor_avg_60m=-0.83, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=50, opState=heating, status=no_change
2026-01-28T21:00:00.695566+01:00, outdoor_avg_60m=-0.92, flow_avg_10m=48.0, flowNow=48.5, powerNow=2000, freqNow=50, opState=heating, status=no_change
2026-01-28T21:00:00.706806+01:00, outdoor_avg_60m=-0.92, flow_avg_10m=48.0, flowNow=48.5, powerNow=2000, freqNow=50, opState=heating, status=no_change
2026-01-28T21:05:00.731341+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=48.5, flowNow=48, powerNow=2000, freqNow=50, opState=heating, status=no_change
2026-01-28T21:05:00.749464+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=48.5, flowNow=48, powerNow=2000, freqNow=50, opState=heating, status=no_change
2026-01-28T21:10:00.558717+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=48.25, flowNow=48.5, powerNow=2000, freqNow=50, opState=heating, status=no_change
2026-01-28T21:10:00.573155+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=48.25, flowNow=48.5, powerNow=2000, freqNow=50, opState=heating, status=no_change
2026-01-28T21:15:00.577248+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=48.25, flowNow=48, powerNow=2000, freqNow=50, opState=heating, status=no_change
2026-01-28T21:15:00.586521+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=48.25, flowNow=48, powerNow=2000, freqNow=50, opState=heating, status=no_change
2026-01-28T21:20:00.613060+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=48, opState=heating, status=no_change
2026-01-28T21:20:00.623829+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=48, opState=heating, status=no_change
2026-01-28T21:25:00.655204+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=48, opState=heating, status=no_change
2026-01-28T21:25:00.666001+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=48, opState=heating, status=no_change
2026-01-28T21:30:00.689235+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=48, opState=heating, status=no_change
2026-01-28T21:30:00.702976+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=48, opState=heating, status=no_change
2026-01-28T21:35:00.519697+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=46, opState=heating, status=no_change
2026-01-28T21:35:00.526378+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=46, opState=heating, status=no_change
2026-01-28T21:40:00.737350+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=48.0, flowNow=47.5, powerNow=2000, freqNow=46, opState=heating, status=no_change
2026-01-28T21:40:00.747988+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=48.0, flowNow=47.5, powerNow=2000, freqNow=46, opState=heating, status=no_change
