2026-02-17T23:25:01.710821+01:00, outdoor_avg_60m=-4.58, flow_avg_10m=48.5, flowNow=48.5, powerNow=2000, freqNow=56, opState=heating, status=set_flow_target
2026-02-17T23:25:01.721856+01:00, outdoor_avg_60m=-4.58, flow_avg_10m=48.5, flowNow=48.5, powerNow=2000, freqNow=56, opState=heating, status=set_flow_target
2026-02-17T23:30:01.744006+01:00, outdoor_avg_60m=-4.67, flow_avg_10m=48.5, flowNow=48.5, powerNow=2000, freqNow=58, opState=heating, status=set_flow_target
2026-02-17T23:30:01.756112+01:00, outdoor_avg_60m=-4.67, flow_avg_10m=48.5, flowNow=48.5, powerNow=2000, freqNow=58, opState=heating, status=set_flow_target
2026-02-17T23:35:01.572007+01:00, outdoor_avg_60m=-4.75, flow_avg_10m=48.5, flowNow=49, powerNow=2000, freqNow=58, opState=heating, status=set_flow_target
2026-02-17T23:35:01.580466+01:00, outdoor_avg_60m=-4.75, flow_avg_10m=48.5, flowNow=49, powerNow=2000, freqNow=58, opState=heating, status=set_flow_target
2026-02-17T23:40:01.600065+01:00, outdoor_avg_60m=-4.83, flow_avg_10m=48.75, flowNow=49, powerNow=2000, freqNow=58, opState=heating, status=set_flow_target
2026-02-17T23:40:01.621485+01:00, outdoor_avg_60m=-4.83, flow_avg_10m=48.75, flowNow=49, powerNow=2000, freqNow=58, opState=heating, status=set_flow_target
2026-02-17T23:45:01.638543+01:00, outdoor_avg_60m=-4.92, flow_avg_10m=49.0, flowNow=49, powerNow=2000, freqNow=58, opState=heating, status=set_flow_target
2026-02-17T23:45:01.649495+01:00, outdoor_avg_60m=-4.92, flow_avg_10m=49.0, flowNow=49, powerNow=2000, freqNow=58, opState=heating, status=set_flow_target
2026-02-17T23:50:01.673221+01:00, outdoor_avg_60m=-5.0, flow_avg_10m=49.0, flowNow=49, powerNow=2000, freqNow=58, opState=heating, status=set_flow_target
2026-02-17T23:50:01.680083+01:00, outdoor_avg_60m=-5.0, flow_avg_10m=49.0, flowNow=49, powerNow=2000, freqNow=58, opState=heating, status=set_flow_target
2026-02-17T23:55:01.905565+01:00, outdoor_avg_60m=-5.0, flow_avg_10m=49.0, flowNow=49, powerNow=2000, freqNow=58, opState=heating, status=set_flow_target
2026-02-17T23:55:01.918586+01:00, outdoor_avg_60m=-5.0, flow_avg_10m=49.0, flowNow=49, powerNow=2000, freqNow=58, opState=heating, status=set_flow_target
2026-02-18T00:00:01.736625+01:00, outdoor_avg_60m=-5.08, flow_avg_10m=49.0, flowNow=49, powerNow=2000, freqNow=58, opState=heating, status=set_flow_target
2026-02-18T00:00:01.744357+01:00, outdoor_avg_60m=-5.08, flow_avg_10m=49.0, flowNow=49, powerNow=2000, freqNow=58, opState=heating, status=set_flow_target
2026-02-18T00:05:01.769833+01:00, outdoor_avg_60m=-5.17, flow_avg_10m=49.0, flowNow=49.5, powerNow=2000, freqNow=60, opState=heating, status=set_flow_target
2026-02-18T00:05:01.778566+01:00, outdoor_avg_60m=-5.17, flow_avg_10m=49.0, flowNow=49.5, powerNow=2000, freqNow=60, opState=heating, status=set_flow_target
2026-02-18T00:10:01.593136+01:00, outdoor_avg_60m=-5.25, flow_avg_10m=49.25, flowNow=49.5, powerNow=2000, freqNow=60, opState=heating, status=set_flow_target
2026-02-18T00:10:01.609024+01:00, outdoor_avg_60m=-5.25, flow_avg_10m=49.25, flowNow=49.5, powerNow=2000, freqNow=60, opState=heating, status=set_flow_target
